,0.0625,0.125,0.25
0,0.6128472222222222,0.3534971644612477,0.691358024691358
1,0.4930555555555555,0.5945179584120983,0.7037037037037037
2,0.6649305555555556,0.551039697542533,0.6172839506172839
3,0.5685763888888888,0.6162570888468809,0.4444444444444444
4,0.59375,0.834593572778828,0.7345679012345679
5,0.6223958333333334,0.5434782608695652,0.3827160493827161
6,0.45138888888888895,0.6172022684310019,0.41358024691358025
7,0.4739583333333333,0.5869565217391305,0.5246913580246914
8,0.6354166666666666,0.6039697542533081,0.42592592592592593
9,0.5,0.5217391304347826,0.5
10,0.5399305555555556,0.5444234404536862,0.4753086419753087
11,0.5737847222222222,0.6379962192816635,0.32098765432098764
12,0.4852430555555556,0.7551984877126654,0.4876543209876543
13,0.45138888888888884,0.6408317580340265,0.5185185185185185
14,0.4921875,0.672022684310019,0.7037037037037037
15,0.4774305555555555,0.5160680529300568,0.49382716049382713
16,0.5,0.5217391304347826,0.5
17,0.6977777777777778,0.515,0.40495867768595045
18,0.6733333333333333,0.7150000000000001,0.640495867768595
19,0.5644444444444444,0.6749999999999999,0.7066115702479339
20,0.56,0.39,0.615702479338843
21,0.49777777777777776,0.39,0.49586776859504134
22,0.32888888888888895,0.405,0.43388429752066116
23,0.5688888888888889,0.385,0.7024793388429752
24,0.6,0.525,0.6322314049586777
25,0.49111111111111116,0.12000000000000001,0.43388429752066116
26,0.7355555555555556,0.66,0.71900826446281
27,0.39555555555555555,0.41000000000000003,0.640495867768595
28,0.711111111111111,0.7050000000000001,0.7396694214876034
29,0.5747599451303154,0.4555555555555555,0.38888888888888895
30,0.5473251028806585,0.6355555555555555,0.7916666666666667
31,0.4170096021947874,0.5711111111111111,0.4305555555555556
32,0.4732510288065843,0.4755555555555555,0.4444444444444444
33,0.3148148148148148,0.45555555555555555,0.5
34,0.434156378600823,0.42,0.5
35,0.40877914951989025,0.5355555555555556,0.5138888888888888
36,0.27434842249657065,0.23333333333333334,0.4722222222222222
37,0.7599451303155006,0.6222222222222222,0.7083333333333334
38,0.6316872427983539,0.3,0.375
39,0.28600823045267487,0.6444444444444445,0.3611111111111111
40,0.5390946502057613,0.5222222222222221,0.6527777777777778
41,0.45747599451303156,0.5888888888888889,0.36111111111111116
42,0.4636488340192043,0.3977777777777778,0.5
43,0.30315500685871055,0.44222222222222224,0.7361111111111112
44,0.5397805212620027,0.5155555555555555,0.625
45,0.36488340192043894,0.48,0.4444444444444444
46,0.5109739368998628,0.31333333333333335,0.4444444444444444
47,0.3834019204389575,0.3222222222222222,0.48611111111111116
48,0.7489711934156379,0.5844444444444444,0.38888888888888884
49,0.3950617283950617,0.39555555555555555,0.3333333333333333
50,0.46433470507544583,0.6866666666666665,0.2361111111111111
51,0.4636488340192044,0.4622222222222222,0.4444444444444444
52,0.6426611796982168,0.41111111111111115,0.05555555555555554
53,0.5507544581618656,0.4066666666666667,0.45833333333333337
54,0.46570644718792864,0.42000000000000004,0.6388888888888888
55,0.612482853223594,0.6266666666666667,0.75
56,0.5946502057613169,0.4177777777777778,0.5277777777777778
57,0.5521262002743483,0.4177777777777778,0.6388888888888888
58,0.4910836762688615,0.39555555555555555,0.4305555555555556
59,0.5390946502057613,0.42,0.6944444444444444
60,0.5438957475994514,0.5555555555555556,0.7638888888888888
61,0.7016460905349795,0.31555555555555553,0.3611111111111111
62,0.5390946502057613,0.43333333333333335,0.8333333333333335
63,0.5041152263374485,0.6399999999999999,0.45833333333333337
64,0.29218106995884774,0.33777777777777773,0.38888888888888895
65,0.4300411522633745,0.19555555555555554,0.7222222222222222
66,0.48628257887517146,0.4733333333333334,0.5277777777777778
67,0.47119341563786016,0.3466666666666667,0.20833333333333334
68,0.5617283950617284,0.38888888888888895,0.4861111111111111
69,0.69,0.625,
70,0.32499999999999996,0.5,
71,0.32999999999999996,0.875,
72,0.5850000000000001,0.25,
73,0.5,,0.5
74,0.5,,0.5
75,0.5,,0.5
76,0.5,,0.625
77,0.5,,0.5
78,0.6836734693877551,,0.3125
79,0.5,,0.5
80,0.326530612244898,,0.375
81,0.29591836734693877,,0.125
82,0.9387755102040817,,0.875
83,0.5306122448979592,,0.75
84,0.5,,0.5
85,0.35714285714285715,,0.5
